epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
30,13901.6,1.6591,1.26061,0.96432,0.99998,0.37276,0.2797,0.24732,0.13579,1.54036,1.15383,0.94208,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,14326.4,1.64443,1.24472,0.96103,0.99999,0.37016,0.2884,0.2516,0.13796,1.54854,1.14491,0.94598,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,14744.8,1.64951,1.24815,0.96423,1.00002,0.37325,0.28991,0.24608,0.1366,1.53134,1.15976,0.94147,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,15172.3,1.64936,1.23474,0.95998,1.00002,0.38966,0.28781,0.25761,0.14219,1.52706,1.13649,0.94109,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,15591.8,1.64355,1.23661,0.95716,0.99998,0.37551,0.29387,0.25843,0.14121,1.53156,1.13444,0.94111,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,16017.2,1.63924,1.23247,0.95873,1,0.37409,0.29338,0.25589,0.14181,1.52558,1.13295,0.93819,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,16433.6,1.63281,1.22343,0.95803,1,0.37883,0.29522,0.26035,0.14443,1.51263,1.12559,0.93573,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,16859.6,1.63437,1.22093,0.95666,1.00001,0.38042,0.30042,0.26574,0.1464,1.51494,1.11641,0.93547,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
38,17276.7,1.62781,1.21113,0.9523,0.99997,0.3805,0.29944,0.26503,0.14689,1.50499,1.11949,0.933,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0105238,0.00350794,0.0420953,0.0140318
39,17705.1,1.61472,1.20346,0.94898,1.00003,0.387,0.30202,0.26521,0.14771,1.50239,1.11399,0.93163,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0103083,0.00343611,0.0412333,0.0137444
40,18115.9,1.6087,1.19315,0.95039,0.99998,0.37127,0.30532,0.27029,0.15039,1.49656,1.10493,0.9308,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0100901,0.00336338,0.0403605,0.0134535
41,18543.1,1.60563,1.19328,0.94916,0.99998,0.38769,0.30031,0.26719,0.14877,1.5,1.1101,0.92891,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.00986945,0.00328982,0.0394778,0.0131593
42,18960.7,1.60823,1.19047,0.94764,1.00003,0.37455,0.31332,0.27367,0.15275,1.48622,1.10023,0.92862,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.00964651,0.0032155,0.038586,0.012862
43,19379.9,1.60594,1.18821,0.94694,0.99999,0.38988,0.30727,0.26957,0.15064,1.49472,1.10238,0.92994,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.00942152,0.00314051,0.0376861,0.012562
44,19796.1,1.59055,1.17668,0.94808,0.99997,0.38516,0.30763,0.27272,0.15197,1.48999,1.09477,0.92932,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.00919471,0.0030649,0.0367789,0.0122596
