epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
61,30541.9,1.46046,1.10892,1.00852,0.00982,0.38933,0.29159,0.28664,0.1614,1.37213,1.0184,0.97122,0,0.00406,0.00406,0.00406,0.00203
62,31019.4,1.45291,1.10755,1.00813,0.00982,0.38165,0.29584,0.2852,0.16123,1.3675,1.0156,0.97156,0,0.003961,0.003961,0.003961,0.0019805
63,31451,1.45937,1.10814,1.00658,0.00982,0.38437,0.29578,0.28622,0.16117,1.36899,1.01415,0.97081,0,0.003862,0.003862,0.003862,0.001931
64,31942.6,1.4528,1.10313,1.0062,0.00982,0.38855,0.29597,0.28688,0.16215,1.36712,1.01005,0.97051,0,0.003763,0.003763,0.003763,0.0018815
65,32409.5,1.45146,1.10156,1.00488,0.00982,0.39123,0.29602,0.28876,0.16337,1.36375,1.01179,0.97112,0,0.003664,0.003664,0.003664,0.001832
66,32854.2,1.45051,1.09829,1.00138,0.00982,0.39364,0.29549,0.28873,0.16286,1.36401,1.00723,0.97007,0,0.003565,0.003565,0.003565,0.0017825
67,33291.8,1.44741,1.09391,1.00409,0.00982,0.39107,0.29884,0.28971,0.16304,1.36207,1.0099,0.96967,0,0.003466,0.003466,0.003466,0.001733
68,33734.3,1.44172,1.08706,0.99948,0.00982,0.39211,0.29997,0.2908,0.16389,1.36127,1.0062,0.96973,0,0.003367,0.003367,0.003367,0.0016835
69,34197.5,1.4452,1.09972,1.00466,0.00982,0.39441,0.29479,0.28929,0.16281,1.36096,1.00658,0.96959,0,0.003268,0.003268,0.003268,0.001634
70,34697,1.44234,1.08819,1.00059,0.00982,0.39346,0.29797,0.29112,0.16359,1.35902,1.0043,0.96842,0,0.003169,0.003169,0.003169,0.0015845
71,35160.5,1.43956,1.08818,1.00379,0.00982,0.38869,0.29531,0.29003,0.1632,1.36025,1.00427,0.96823,0,0.00307,0.00307,0.00307,0.001535
72,35603.3,1.43604,1.08199,1.0009,0.00959,0.38759,0.30013,0.29036,0.16287,1.35859,1.004,0.96882,0,0.002971,0.002971,0.002971,0.0014855
73,36039.7,1.43568,1.07951,0.99728,0.00914,0.39147,0.29826,0.29119,0.16401,1.35712,0.99975,0.96821,0,0.002872,0.002872,0.002872,0.001436
74,36487.5,1.43095,1.07879,0.9995,0.0085,0.4002,0.29597,0.29279,0.16472,1.35583,1.00009,0.96776,0,0.002773,0.002773,0.002773,0.0013865
75,36920.5,1.4221,1.07495,0.99885,0.00771,0.39091,0.29971,0.29351,0.16523,1.35605,0.9989,0.96761,0,0.002674,0.002674,0.002674,0.001337
76,37359.7,1.43325,1.07513,0.99937,0.00681,0.39685,0.30432,0.2943,0.1658,1.35356,0.99622,0.96627,0,0.002575,0.002575,0.002575,0.0012875
77,37802.7,1.42745,1.06865,0.99786,0.00586,0.40452,0.30109,0.2963,0.16652,1.35273,0.99522,0.96611,0,0.002476,0.002476,0.002476,0.001238
78,38260.1,1.42439,1.06473,0.99923,0.0049,0.40443,0.30396,0.29514,0.1664,1.35182,0.99378,0.96552,0,0.002377,0.002377,0.002377,0.0011885
79,38694.8,1.41618,1.06942,0.99587,0.00399,0.40486,0.30109,0.29816,0.16774,1.35025,0.99272,0.96554,0,0.002278,0.002278,0.002278,0.001139
80,39119.6,1.42236,1.06435,0.99474,0.00315,0.41045,0.30025,0.29591,0.16646,1.34946,0.9938,0.96517,0,0.002179,0.002179,0.002179,0.0010895
81,39551.8,1.41811,1.06244,0.99401,0.00241,0.40623,0.30387,0.29856,0.16824,1.34772,0.99173,0.96486,0,0.00208,0.00208,0.00208,0.00104
82,39996.1,1.41487,1.05779,0.99144,0.00179,0.40045,0.30618,0.29839,0.16874,1.34633,0.99016,0.96424,0,0.001981,0.001981,0.001981,0.0009905
83,40436.2,1.41757,1.05569,0.9918,0.00129,0.40214,0.30403,0.29892,0.16854,1.34827,0.98818,0.96493,0,0.001882,0.001882,0.001882,0.000941
84,40868.8,1.40421,1.04393,0.9925,0.0009,0.40196,0.30354,0.29865,0.16857,1.34723,0.98732,0.96503,0,0.001783,0.001783,0.001783,0.0008915
85,41300.5,1.40574,1.04374,0.9924,0.00061,0.4076,0.3029,0.30072,0.16942,1.34553,0.98623,0.96401,0,0.001684,0.001684,0.001684,0.000842
86,41747,1.41102,1.05166,0.99175,0.00039,0.40871,0.30345,0.301,0.16963,1.34477,0.98554,0.96428,0,0.001585,0.001585,0.001585,0.0007925
87,42184.3,1.40302,1.04481,0.99295,0.00025,0.40578,0.30548,0.30054,0.16903,1.34543,0.98612,0.96477,0,0.001486,0.001486,0.001486,0.000743
88,42663.4,1.40649,1.04274,0.98859,0.00015,0.4016,0.30889,0.30096,0.16985,1.34587,0.98459,0.96439,0,0.001387,0.001387,0.001387,0.0006935
89,43105.9,1.40274,1.03711,0.98956,9e-05,0.40073,0.30723,0.30081,0.16989,1.34589,0.98436,0.96435,0,0.001288,0.001288,0.001288,0.000644
90,43538.2,1.39987,1.03815,0.99185,5e-05,0.4004,0.31056,0.30079,0.16948,1.34439,0.98434,0.96386,0,0.001189,0.001189,0.001189,0.0005945
91,43964.1,1.37097,1.0139,0.99494,3e-05,0.39469,0.31008,0.2987,0.16814,1.34607,0.98581,0.96502,0,0.00109,0.00109,0.00109,0.000545
92,44388.1,1.3618,0.99837,0.99325,1e-05,0.3923,0.31063,0.29712,0.16791,1.3465,0.98738,0.96534,0,0.000991,0.000991,0.000991,0.0004955
93,44804.8,1.35672,0.99499,0.99012,1e-05,0.39367,0.30863,0.29647,0.1679,1.34763,0.98831,0.96563,0,0.000892,0.000892,0.000892,0.000446
94,45222.6,1.35734,0.99108,0.98698,0,0.39488,0.30579,0.29672,0.1675,1.34795,0.98769,0.96582,0,0.000793,0.000793,0.000793,0.0003965
95,45673.6,1.34939,0.98404,0.98675,0,0.39353,0.30834,0.29705,0.1677,1.34676,0.98764,0.96587,0,0.000694,0.000694,0.000694,0.000347
96,46097.9,1.35288,0.98719,0.98729,0,0.3954,0.30862,0.29712,0.16795,1.34646,0.98714,0.96557,0,0.000595,0.000595,0.000595,0.0002975
97,46527.8,1.3458,0.98148,0.98638,0,0.39211,0.30961,0.2975,0.16833,1.34684,0.98629,0.96515,0,0.000496,0.000496,0.000496,0.000248
98,46958.2,1.34548,0.97824,0.98533,0,0.39058,0.30986,0.29725,0.1681,1.34672,0.98619,0.96498,0,0.000397,0.000397,0.000397,0.0001985
99,47386.6,1.34062,0.97263,0.98338,0,0.3938,0.31017,0.29783,0.16852,1.34642,0.98591,0.96521,0,0.000298,0.000298,0.000298,0.000149
100,47813.7,1.3396,0.973,0.98565,0,0.39466,0.31049,0.29789,0.16838,1.34682,0.98603,0.96506,0,0.000199,0.000199,0.000199,9.95e-05
