epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
59,23386.9,1.52449,1.08694,0.93046,0.40979,0.32241,0.28583,0.15977,1.45044,1.04899,0.91727,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.00572848,0.00190949,0.0229139,0.00763797
60,23784.4,1.51853,1.08083,0.92845,0.40963,0.32377,0.28608,0.15983,1.45438,1.05326,0.91687,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.00550349,0.0018345,0.022014,0.00733799
61,24179.7,1.51751,1.07567,0.92955,0.40222,0.325,0.28579,0.16042,1.45098,1.0515,0.91603,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.00528055,0.00176018,0.0211222,0.00704073
62,24575.7,1.5113,1.0691,0.92821,0.40577,0.32547,0.28476,0.15907,1.45202,1.04901,0.91633,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.00505987,0.00168662,0.0202395,0.00674649
63,24972.5,1.51881,1.07231,0.92782,0.39881,0.32842,0.28593,0.16005,1.44893,1.04758,0.91557,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00484168,0.00161389,0.0193667,0.00645557
64,25368.2,1.51283,1.06765,0.92654,0.40353,0.32874,0.28896,0.16133,1.44471,1.04233,0.9152,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00462618,0.00154206,0.0185047,0.00616824
65,25762.7,1.50758,1.06597,0.92672,0.40456,0.32846,0.28725,0.16006,1.44473,1.04621,0.91489,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00441359,0.0014712,0.0176544,0.00588479
66,26159.5,1.51309,1.06608,0.92478,0.40283,0.32683,0.28706,0.16053,1.4464,1.04459,0.91424,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00420412,0.00140137,0.0168165,0.00560549
67,26555.1,1.50394,1.05644,0.92381,0.40751,0.32977,0.29024,0.1631,1.44176,1.04067,0.91354,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00399798,0.00133266,0.0159919,0.00533064
68,26952.7,1.49894,1.05525,0.9258,0.398,0.33291,0.29051,0.16249,1.44309,1.03959,0.91464,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00379537,0.00126512,0.0151815,0.00506049
69,27351.7,1.49445,1.04759,0.92432,0.40491,0.33249,0.28937,0.1619,1.4406,1.04009,0.91373,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00359649,0.00119883,0.0143859,0.00479531
70,27750,1.48815,1.04031,0.92007,0.41195,0.32884,0.2896,0.16175,1.44364,1.03903,0.91406,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00340153,0.00113384,0.0136061,0.00453537
71,28148.9,1.49485,1.04397,0.92278,0.40842,0.3282,0.28897,0.16137,1.44148,1.04112,0.91306,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00321069,0.00107023,0.0128428,0.00428093
72,28548.8,1.48688,1.04029,0.91997,0.41674,0.32525,0.29132,0.16349,1.4399,1.03985,0.91356,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00302417,0.00100806,0.0120967,0.00403222
73,28946.9,1.48967,1.04163,0.91981,0.40957,0.3254,0.29104,0.16243,1.43999,1.03765,0.91328,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00284213,0.000947376,0.0113685,0.0037895
74,29346.2,1.48267,1.03685,0.91858,0.41007,0.32953,0.29076,0.16261,1.43957,1.03731,0.91304,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00266476,0.000888253,0.010659,0.00355301
75,29745,1.48548,1.03741,0.91967,0.41264,0.32852,0.29108,0.16218,1.43865,1.03814,0.91267,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00249224,0.000830746,0.00996895,0.00332298
76,30143,1.49239,1.04134,0.91974,0.40794,0.33146,0.29253,0.163,1.43696,1.03646,0.91252,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00232473,0.000774911,0.00929893,0.00309964
77,30542.9,1.4887,1.03454,0.91644,0.41043,0.32682,0.28997,0.16283,1.43721,1.03856,0.91238,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00216241,0.000720803,0.00864963,0.00288321
78,30947.8,1.47431,1.02776,0.91702,0.41173,0.3316,0.2926,0.16278,1.43727,1.0345,0.91241,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00200543,0.000668475,0.0080217,0.0026739
79,31349.9,1.47294,1.02111,0.91805,0.40057,0.33919,0.29284,0.16315,1.43778,1.03613,0.91243,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00185394,0.00061798,0.00741576,0.00247192
80,31748.3,1.46921,1.02206,0.91643,0.40972,0.33417,0.29341,0.16358,1.43662,1.03523,0.91208,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0017081,0.000569366,0.0068324,0.00227747
81,32149,1.47415,1.02625,0.91716,0.40725,0.33325,0.29307,0.16381,1.43608,1.03383,0.91248,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.00156805,0.000522683,0.0062722,0.00209073
82,32548.2,1.47746,1.02469,0.91633,0.41049,0.33357,0.29399,0.16388,1.43568,1.03307,0.91193,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00143393,0.000477976,0.00573571,0.0019119
83,32946.8,1.46957,1.01866,0.91686,0.41044,0.33303,0.29459,0.16469,1.43381,1.03285,0.91116,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00130587,0.000435288,0.00522346,0.00174115
84,33347.3,1.46503,1.01533,0.91676,0.40517,0.33354,0.29279,0.16325,1.43763,1.03489,0.9118,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00118399,0.000394663,0.00473596,0.00157865
85,33746.1,1.47693,1.02126,0.9141,0.41201,0.33444,0.29412,0.16452,1.43678,1.03367,0.9116,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00106842,0.000356141,0.00427369,0.00142456
86,34144.7,1.46184,1.0072,0.91315,0.40721,0.33556,0.29435,0.16418,1.43558,1.03362,0.91136,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.000959277,0.000319759,0.00383711,0.00127904
87,34545.8,1.46307,1.01104,0.91462,0.40992,0.33453,0.29293,0.16408,1.4364,1.03344,0.91164,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.000856659,0.000285553,0.00342664,0.00114221
88,34947.5,1.45375,1.0034,0.91241,0.41378,0.33235,0.29241,0.16386,1.43848,1.03448,0.91222,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.000760672,0.000253557,0.00304269,0.00101423
89,35346.6,1.46007,1.00579,0.91516,0.40967,0.33496,0.29277,0.16389,1.43773,1.03462,0.91205,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00067141,0.000223803,0.00268564,0.000895213
90,35749.4,1.46697,1.01124,0.91581,0.4139,0.33318,0.29349,0.16456,1.4374,1.03291,0.91202,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00058896,0.00019632,0.00235584,0.00078528
91,36160.9,1.42765,0.98946,0.91846,0.40746,0.32557,0.28568,0.15964,1.45841,1.09128,0.91772,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.000513405,0.000171135,0.00205362,0.00068454
92,36463.4,1.41185,0.97374,0.91711,0.40923,0.31126,0.27377,0.15251,1.49113,1.16744,0.92605,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000444819,0.000148273,0.00177928,0.000593093
93,36738.8,1.40931,0.96838,0.91578,0.40927,0.31076,0.27232,0.15153,1.49523,1.16693,0.92682,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00038327,0.000127757,0.00153308,0.000511027
94,37013.3,1.40889,0.96769,0.91612,0.40942,0.30955,0.27223,0.15084,1.49549,1.16533,0.92653,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000328818,0.000109606,0.00131527,0.000438424
95,37286.1,1.40102,0.96329,0.91531,0.40914,0.31128,0.27286,0.15143,1.49593,1.16706,0.92697,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000281517,9.38391e-05,0.00112607,0.000375356
96,37603,1.40481,0.96353,0.9161,0.40473,0.30983,0.26949,0.14991,1.50264,1.18121,0.92881,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000241414,8.04714e-05,0.000965656,0.000321885
97,38002.9,1.41033,0.96418,0.91422,0.40574,0.31058,0.27083,0.15048,1.49768,1.17135,0.92731,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000208548,6.95161e-05,0.000834193,0.000278064
98,38398.7,1.40611,0.96274,0.91613,0.40657,0.31089,0.27269,0.15162,1.49546,1.1663,0.92638,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000182952,6.09841e-05,0.00073181,0.000243937
99,38792.7,1.40623,0.9608,0.91344,0.40445,0.3134,0.27264,0.15139,1.49518,1.16574,0.92625,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000164652,5.48838e-05,0.000658606,0.000219535
100,39188.9,1.40021,0.95803,0.91391,0.40557,0.31337,0.27299,0.15162,1.49504,1.16316,0.92632,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000153664,5.12213e-05,0.000614655,0.000204885
