epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
47,58169.7,1.53089,1.19555,1.01208,0.01964,0.36012,0.27889,0.26733,0.1503,1.44147,1.10445,0.97899,0,0.005446,0.005446,0.005446,0.002723
48,59213.4,1.53768,1.19736,1.01481,0.01964,0.38284,0.27868,0.27267,0.15244,1.43902,1.09461,0.9766,0,0.005347,0.005347,0.005347,0.0026735
49,59866.6,1.5272,1.19072,1.01039,0.01964,0.37203,0.2807,0.27105,0.1525,1.43473,1.09663,0.97361,0,0.005248,0.005248,0.005248,0.002624
50,73747.6,1.53208,1.19517,1.00888,0.01965,0.3835,0.28319,0.27315,0.15356,1.44084,1.0934,0.97419,0,0.005149,0.005149,0.005149,0.0025745
51,74821.5,1.52826,1.18727,1.00753,0.01964,0.37848,0.28198,0.27241,0.15397,1.43429,1.09367,0.9726,0,0.00505,0.00505,0.00505,0.002525
52,76359.3,1.52166,1.18633,1.00308,0.01965,0.37007,0.28349,0.27418,0.15479,1.42938,1.08603,0.97041,0,0.004951,0.004951,0.004951,0.0024755
53,78289.3,1.52306,1.18046,1.00362,0.01964,0.3717,0.28832,0.27382,0.15433,1.42449,1.08755,0.96808,0,0.004852,0.004852,0.004852,0.002426
54,82982.7,1.52486,1.17942,1.00581,0.01964,0.3747,0.2891,0.27476,0.15489,1.42487,1.0828,0.96933,0,0.004753,0.004753,0.004753,0.0023765
55,83727.8,1.51434,1.17249,1.00122,0.01964,0.37258,0.29013,0.27632,0.15612,1.42167,1.08025,0.96712,0,0.004654,0.004654,0.004654,0.002327
56,85597.3,1.5051,1.16488,1.00038,0.01964,0.37202,0.28606,0.27765,0.15653,1.41957,1.07776,0.96663,0,0.004555,0.004555,0.004555,0.0022775
57,86333.5,1.51002,1.16086,0.99832,0.01964,0.3724,0.28811,0.27589,0.15527,1.4153,1.07647,0.96462,0,0.004456,0.004456,0.004456,0.002228
58,87072,1.50785,1.16255,0.99755,0.01964,0.37563,0.29004,0.27897,0.15762,1.41246,1.07029,0.96398,0,0.004357,0.004357,0.004357,0.0021785
59,87810.7,1.4992,1.15748,0.99617,0.01964,0.37585,0.28668,0.27558,0.15556,1.41441,1.07193,0.96392,0,0.004258,0.004258,0.004258,0.002129
60,91098.8,1.50331,1.15798,0.99587,0.01964,0.37447,0.2945,0.2809,0.15864,1.41319,1.06918,0.96365,0,0.004159,0.004159,0.004159,0.0020795
61,91839.5,1.49623,1.14542,0.99441,0.01965,0.38308,0.2916,0.28304,0.15957,1.41032,1.06383,0.96227,0,0.00406,0.00406,0.00406,0.00203
62,92578.1,1.49017,1.14452,0.99466,0.01964,0.3774,0.29356,0.28452,0.16063,1.4051,1.06254,0.96195,0,0.003961,0.003961,0.003961,0.0019805
63,93316,1.49824,1.14474,0.99397,0.01964,0.37308,0.29832,0.28377,0.16087,1.40547,1.06212,0.96081,0,0.003862,0.003862,0.003862,0.001931
64,94050.4,1.48999,1.13862,0.99261,0.01965,0.37707,0.29601,0.28248,0.1611,1.40348,1.058,0.95946,0,0.003763,0.003763,0.003763,0.0018815
65,94794.4,1.48955,1.14123,0.99122,0.01964,0.37583,0.29963,0.28456,0.16173,1.39904,1.05666,0.95895,0,0.003664,0.003664,0.003664,0.001832
66,95528,1.48536,1.13469,0.98704,0.01964,0.38017,0.29233,0.28434,0.16181,1.39898,1.055,0.95911,0,0.003565,0.003565,0.003565,0.0017825
67,96261.7,1.48373,1.12888,0.99021,0.01965,0.37773,0.29606,0.28631,0.16263,1.39955,1.0523,0.95938,0,0.003466,0.003466,0.003466,0.001733
68,98987.8,1.47652,1.12162,0.98459,0.01964,0.38153,0.29774,0.28559,0.16239,1.39298,1.05036,0.95756,0,0.003367,0.003367,0.003367,0.0016835
69,99722,1.47894,1.13362,0.98953,0.01964,0.38815,0.29707,0.28623,0.16284,1.39531,1.05016,0.95845,0,0.003268,0.003268,0.003268,0.001634
70,102260,1.47786,1.12246,0.98669,0.01964,0.38171,0.29913,0.28582,0.1627,1.39341,1.04752,0.95714,0,0.003169,0.003169,0.003169,0.0015845
71,102998,1.47529,1.12194,0.98883,0.01964,0.3738,0.30268,0.28643,0.16168,1.39559,1.04736,0.95741,0,0.00307,0.00307,0.00307,0.001535
72,104794,1.46943,1.11836,0.98531,0.01918,0.38016,0.30329,0.28825,0.16339,1.39513,1.04636,0.95747,0,0.002971,0.002971,0.002971,0.0014855
73,105537,1.46963,1.11557,0.98252,0.01829,0.38237,0.30103,0.28961,0.16498,1.39079,1.04372,0.95658,0,0.002872,0.002872,0.002872,0.001436
74,107246,1.46616,1.11277,0.98476,0.01701,0.37949,0.30615,0.28903,0.1646,1.39176,1.04195,0.95613,0,0.002773,0.002773,0.002773,0.0013865
