DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.20.m.0,23,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.20.m.1,23,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.23.m.0,23,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.23.m.1,23,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.14.m.0,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.14.m.1,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.20.m.0,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.20.m.1,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.23.m.0,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,model.23.m.1,14,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.14.m.0,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.14.m.1,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.20.m.0,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.20.m.1,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.23.m.0,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,model.23.m.1,47,unknown,small,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.14.m.0,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.14.m.1,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.20.m.0,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.20.m.1,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.23.m.0,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,model.23.m.1,45,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.14.m.0,101,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.14.m.1,101,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.20.m.0,101,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,model.20.m.1,101,unknown,small,irregular,LocalConvTransformer
