epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
80,37540.1,1.50266,1.06297,0.92353,0.99998,0.42664,0.33116,0.3057,0.17247,1.42977,1.02532,0.91402,0,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0017081,0.000569366,0.0068324,0.00227747
81,38004.7,1.50299,1.05844,0.92005,1.00002,0.42912,0.32977,0.30605,0.17337,1.42975,1.02462,0.91369,0,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.00156805,0.000522683,0.0062722,0.00209073
82,38467.1,1.49954,1.06009,0.92259,0.99999,0.43209,0.32915,0.30611,0.17356,1.42817,1.02302,0.91321,0,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00143393,0.000477976,0.00573571,0.0019119
83,38927.7,1.49852,1.0586,0.92283,0.99998,0.4265,0.33029,0.30593,0.17306,1.42641,1.02326,0.91283,0,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00130587,0.000435288,0.00522346,0.00174115
84,39392.5,1.4955,1.05384,0.92101,1.00003,0.43321,0.32935,0.30553,0.17286,1.4257,1.0225,0.91281,0,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00118399,0.000394663,0.00473596,0.00157865
85,39857.8,1.49496,1.05393,0.92007,0.99999,0.43671,0.3278,0.30603,0.17327,1.42481,1.02093,0.91278,0,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00106842,0.000356141,0.00427369,0.00142456
86,40327.3,1.49817,1.05596,0.9206,1,0.43402,0.33018,0.3072,0.17367,1.42563,1.02138,0.91305,0,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.000959277,0.000319759,0.00383711,0.00127904
87,40788.2,1.49377,1.05092,0.92017,1.00003,0.42742,0.33345,0.30743,0.17384,1.42528,1.02098,0.91297,0,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.000856659,0.000285553,0.00342664,0.00114221
88,41273.9,1.49002,1.04795,0.91983,0.99997,0.43178,0.33131,0.30725,0.1739,1.42539,1.02068,0.91303,0,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.000760672,0.000253557,0.00304269,0.00101423
89,41742.5,1.49228,1.05004,0.92079,1,0.42626,0.33124,0.30739,0.1737,1.42524,1.0217,0.91312,0,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00067141,0.000223803,0.00268564,0.000895213
90,42211.1,1.48897,1.04869,0.91972,1,0.42051,0.33595,0.3069,0.17375,1.42537,1.02148,0.91298,0,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00058896,0.00019632,0.00235584,0.00078528
91,42685.6,1.46567,1.03471,0.92148,1.00002,0.43072,0.33039,0.30472,0.17255,1.42953,1.0237,0.91351,0,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.000513405,0.000171135,0.00205362,0.00068454
92,43150.8,1.44752,1.01601,0.91966,1,0.42998,0.33016,0.30489,0.17236,1.43136,1.02447,0.91414,0,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000444819,0.000148273,0.00177928,0.000593093
93,43612,1.44901,1.01401,0.91785,1,0.42993,0.32949,0.30494,0.17256,1.43128,1.0239,0.91387,0,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00038327,0.000127757,0.00153308,0.000511027
94,44079.3,1.44735,1.01278,0.91938,0.99999,0.43212,0.32702,0.30451,0.17249,1.43067,1.02268,0.9138,0,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000328818,0.000109606,0.00131527,0.000438424
95,44540.1,1.44228,1.00971,0.91978,0.99999,0.43326,0.32767,0.30543,0.1728,1.43019,1.02157,0.91395,0,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000281517,9.38391e-05,0.00112607,0.000375356
96,44997.8,1.44033,1.00765,0.91853,1.00001,0.43444,0.32609,0.30563,0.17279,1.42997,1.02121,0.91369,0,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000241414,8.04714e-05,0.000965656,0.000321885
